ID,Start time,Completion time,Earlierwfh,Isguidelines,Guidelinesgiven,Devices,Useofdevicesbyothers,Assets,Devicesmanaged,Devicespec,Thirdpartyenv,Please describe how you obtain access to your corporate working environment.,"Were you asked to use applications or services that you were unfamiliar with, because of the need for remote working?",Awareness,Has your company adopted a specific collaboration solution?,Skills,Issues,Othercyberissues,Preference,WFHResults,I collaborate with my colleagues as effectively as when we are in office.,Satisfaction,"I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).",I am proud to work for my organization.,I have access to the things I need to do my job well.,Age,Qualification,Role,Businessdomain,Designation,Comments
67,2020-09-04 19:34:09,2020-09-04 19:39:23,No,Yes,Connect to business  network using vpn,Laptop;Smartphone;,No,Personal assets,No,Password protection;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,Phishing;,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,35-44 years old,Doctorate degree,Education & Research,No,Other,No
68,2020-09-04 19:37:33,2020-09-04 19:42:18,Yes,No,No,Desktop;Laptop;,No,Corporate assets,No,Antivirus software installed;,Using VPN ,No,No,No,Yes,Real-time chatting;Teleconferencing;,None;,No,Undecided,Undecided,Disagree,Undecided,Disagree,Disagree,Disagree,35-44 years old,Doctorate degree,EPES (Electrical Power & Energy Systems),No,IT professional,No
69,2020-09-04 19:46:26,2020-09-04 19:53:39,Yes,Yes,Use company approved communication tools for conference,Laptop;Smartphone;,No,Corporate assets,"Yes, partly",Password protection;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;Other;,None;,No,Undecided,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,45-54 years old,Bachelor’s degree,Telecommunications,No,Other,No
70,2020-09-04 20:32:45,2020-09-04 20:36:11,No,No,No,Laptop;Tablet;,No,Personal assets,No,Password protection;Antivirus software installed;,Other,No,No,No,Yes,Real-time chatting;Teleconferencing;,None;,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,35-44 years old,Bachelor’s degree,Health,No,Other,No
71,2020-09-04 21:31:16,2020-09-04 21:36:40,Yes,No,No,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Two-factor authentication;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,35-44 years old,Doctorate degree,IT (Information Technology),No,IT professional,No
72,2020-09-04 21:35:08,2020-09-04 21:39:09,No,Yes,Connect only through VPN,Laptop;,Yes,Corporate assets,"Yes, fully",Password protection;Automatic screen lock;,Using VPN ,No,Yes,Instructions provided via email;,No,No,None;,No,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,25-34 years old,Master’s degree,Transport,No,Other,No
73,2020-09-04 21:39:33,2020-09-04 21:42:49,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Two-factor authentication;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,No,No,None;,No,Agree,Undecided,Agree,Agree,Undecided,Agree,Agree,25-34 years old,Master’s degree,IT (Information Technology),No,IT professional,No
74,2020-09-04 21:57:14,2020-09-04 22:07:59,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Two-factor authentication;Hard disk encryption;,Using VPN ,No,No,No,No,No,None;,None,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,35-44 years old,Master’s degree,IT (Information Technology),No,IT professional,No
75,2020-09-04 22:11:13,2020-09-04 22:14:00,Yes,No,No,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,Yes,User manual documentation (distributed in any way);Instructions available to the corporate portal or website;Instructions provided via email;,Yes,Scheduling;Real-time chatting;Teleconferencing;Other;,None;,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,35-44 years old,Master’s degree,IT (Information Technology),No,IT professional,No
76,2020-09-04 22:11:32,2020-09-04 22:15:18,Yes,Yes,"Use vpn, avoid public WiFi, be aware who may see your screen, always keep antivirus updated ",Laptop;,No,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Agree,Agree,Undecided,Agree,Agree,Undecided,Strongly agree,35-44 years old,Master’s degree,IT (Information Technology),No,IT professional,No
77,2020-09-04 22:19:04,2020-09-04 22:22:47,Yes,Yes,No,Laptop;Smartphone;,No,Corporate assets,"Yes, partly",Password protection;Two-factor authentication;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,Phishing;,No,Disagree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Master’s degree,IT (Information Technology),No,IT professional,No
78,2020-09-04 23:20:56,2020-09-04 23:24:00,Yes,No,No,Desktop;Laptop;,No,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Teleconferencing;,None;,No,Undecided,Agree,Disagree,Strongly agree,Agree,Agree,Agree,35-44 years old,Master’s degree,Telecommunications,No,IT professional,No
79,2020-10-04 09:33:28,2020-10-04 09:36:54,No,No,No,Laptop;Smartphone;,No,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;Antivirus software installed;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,Yes,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,None;,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,25-34 years old,Master’s degree,EPES (Electrical Power & Energy Systems),No,Other,No
80,2020-10-04 09:39:33,2020-10-04 09:43:19,Yes,Yes,No,Laptop;Smartphone;,No,Corporate assets,"Yes, fully",Password protection;Two-factor authentication;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,No,No,None;,No,Disagree,Undecided,Undecided,Strongly agree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Master’s degree,Telecommunications,No,Other,No
81,2020-10-04 10:05:29,2020-10-04 10:09:26,Yes,No,No,Laptop;,No,Corporate assets,No,Password protection;Antivirus software installed;,Direct access,No,No,No,Yes,Project/Workflow/Task management;Scheduling;Teleconferencing;,None;,No,Undecided,Undecided,Agree,Strongly agree,Agree,Strongly agree,Agree,35-44 years old,Master’s degree,EPES (Electrical Power & Energy Systems),No,Other,No
82,2020-10-04 11:54:07,2020-10-04 11:56:11,Yes,No,No,Laptop;,No,Corporate assets,No,Password protection;Automatic screen lock;Antivirus software installed;,Direct access,No,Yes,Instructions provided via email;,Yes,Document management;,None;,No,Agree,Agree,Disagree,Undecided,Undecided,Undecided,Agree,18-24 years old,"High school graduate, diploma or the equivalent",Other,Tourism,Other,No
83,2020-10-04 11:44:46,2020-10-04 12:11:49,Yes,Yes,"password policy, vpn instructions",Laptop;,Yes,Corporate assets,"Yes, partly",Password protection;Two-factor authentication;Automatic screen lock;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,Yes,Scheduling;Real-time chatting;,Phishing;Ransomware;Hacking;Data loss;Spyware/Virus infection;,No,Undecided,Undecided,Disagree,Disagree,Undecided,Agree,Disagree,35-44 years old,Doctorate degree,IT (Information Technology),No,Security professional,No
84,2020-10-04 14:34:59,2020-10-04 14:39:25,Yes,Yes,Extra careful for any suspicious emails ,Desktop;Laptop;Tablet;Smartphone;,No,Personal assets,No,Password protection;Two-factor authentication;Automatic screen lock;Antivirus software installed;Antispam software installed;,Direct access,No,No,No,Yes,Scheduling;Real-time chatting;Teleconferencing;,None;,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Master’s degree,IT (Information Technology),No,Manager,No
85,2020-10-04 14:34:25,2020-10-04 14:40:00,No,No,No,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Antivirus software installed;Antispam software installed;,Using VPN ,No,Yes,Instructions provided via email;,Yes,Other;,None;,No,Undecided,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,35-44 years old,Master’s degree,Banking & Financial,No,Manager,No
86,2020-10-04 14:36:18,2020-10-04 14:40:56,Yes,No,No,Desktop;Laptop;,Yes,Personal assets,No,Password protection;,Using VPN ,No,No,No,Yes,No,None;,No,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,No,No,IT (Information Technology),No,IT professional,No
87,2020-10-04 14:40:06,2020-10-04 14:41:34,No,Yes,No,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Antivirus software installed;,Using VPN ,No,Yes,Instructions provided via email;,Yes,Other;,None;,No,Undecided,Disagree,Agree,Strongly agree,Agree,Agree,Agree,35-44 years old,Master’s degree,Banking & Financial,No,Manager,No
88,2020-10-04 15:03:43,2020-10-04 15:07:42,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;Automatic screen lock;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,None,Undecided,Disagree,Disagree,Undecided,Agree,Undecided,Agree,35-44 years old,Doctorate degree,EPES (Electrical Power & Energy Systems),No,IT professional,None
89,2020-10-04 15:30:14,2020-10-04 15:32:30,Yes,No,No,Desktop;Laptop;Tablet;Smartphone;Other;,No,Personal assets,No,Password protection;Two-factor authentication;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Teleconferencing;,None;,No,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,35-44 years old,Doctorate degree,Public Sector,No,Manager,No
90,2020-10-04 17:18:24,2020-10-04 17:25:21,No,Yes,"Not to remain connected after your work because the resources are limited.
",Laptop;,Yes,Personal assets,No,Password protection;Two-factor authentication;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Project/Workflow/Task management;Scheduling;Teleconferencing;,Spyware/Virus infection;,No,Undecided,Disagree,Disagree,Agree,Agree,Agree,Agree,35-44 years old,Master’s degree,Public Sector,No,Other,No
91,2020-10-04 17:32:33,2020-10-04 17:35:40,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;Automatic screen lock;Antivirus software installed;Antispam software installed;,Direct access,No,Yes,Instructions available to the corporate portal or website;,Yes,Scheduling;Real-time chatting;Teleconferencing;,None;,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,25-34 years old,Doctorate degree,Education & Research,No,Researcher,No
92,2020-10-04 17:53:28,2020-10-04 17:58:31,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;Antivirus software installed;,Direct access,No,No,No,No,No,None;,No,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,25-34 years old,Bachelor’s degree,IT (Information Technology),No,Other,No
93,2020-10-04 17:55:30,2020-10-04 17:59:31,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;Two-factor authentication;Hard disk encryption;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Undecided,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Master’s degree,Other,E-commerce,Other,No
94,2020-10-04 18:01:48,2020-10-04 18:08:52,Yes,Yes,"Only use work laptops for work-related task
Use VPN connection
Do not expose confidential work-papers/conversations to family members",Laptop;Smartphone;,No,Corporate assets,"Yes, fully",Password protection;Automatic screen lock;Antivirus software installed;Antispam software installed;,Using VPN ,No,Yes,Instructions available to the corporate portal or website;,No,No,None;,No,Agree,Disagree,Disagree,Undecided,Disagree,Agree,Agree,35-44 years old,Doctorate degree,Education & Research,No,Researcher,No
95,2020-10-04 18:15:52,2020-10-04 18:19:10,Yes,No,No,Desktop;,No,Corporate assets,"Yes, fully",Password protection;Two-factor authentication;Automatic screen lock;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Master’s degree,Other,e-commerse,Other,No
96,2020-10-04 18:16:35,2020-10-04 18:19:15,Yes,Yes,No,Laptop;,Yes,Corporate assets,"Yes, fully",Password protection;Automatic screen lock;Hard disk encryption;,Using VPN ,No,No,No,Yes,Real-time chatting;Teleconferencing;,None;,No,Undecided,Disagree,Disagree,Agree,Agree,Agree,Agree,25-34 years old,Bachelor’s degree,IT (Information Technology),No,IT professional,No
97,2020-10-04 18:18:04,2020-10-04 18:24:25,Yes,Yes,,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Undecided,Agree,Strongly agree,Agree,Agree,Agree,25-34 years old,Master’s degree,Other,e-commerce,Other,"I think question 9 ""How do you obtain access to your corporate working environment?"", should be multiple choice, since I use both VPN and a cloud service to connect to various services.
"
98,2020-10-04 18:20:00,2020-10-04 18:25:22,Yes,Yes,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Antivirus software installed;,Using VPN ,No,No,No,Yes,Document management;Project/Workflow/Task management;Real-time chatting;,None;,No,Undecided,Undecided,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Bachelor’s degree,IT (Information Technology),No,Other,No
99,2020-10-04 18:21:34,2020-10-04 18:27:04,Yes,Yes,"- avoid leave unlock your pc
- be careful with weird emails asked you personal details
- don't photoshoot, screenshot, print company's files and if you print something then destroy it",Laptop;,No,Corporate assets,"Yes, fully",Password protection;,Using VPN ,No,No,No,Yes,Document management;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Master’s degree,Other,E-commerce,Manager,No
100,2020-10-04 18:32:29,2020-10-04 18:36:11,Yes,Yes,,Desktop;Laptop;,No,Corporate assets,No,Password protection;Hard disk encryption;,Using VPN ,No,No,No,No,No,None;,No,Disagree,Disagree,Undecided,Strongly agree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Doctorate degree,Other,Ecommerce,Other,No
101,2020-10-04 18:43:52,2020-10-04 18:46:37,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Hard disk encryption;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Undecided,Strongly agree,25-34 years old,Master’s degree,Other,E-commerce,Other,No
102,2020-10-04 18:44:50,2020-10-04 18:49:37,Yes,Yes,"1. Lock computer when not using it.
2. Disconnect from VPN when not using it.
3. Beware of printed documents, telephone calls, snakes and dragons.",Laptop;,No,Corporate assets,"Yes, partly",Password protection;Hard disk encryption;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Disagree,Disagree,Undecided,Strongly agree,Agree,Agree,Strongly agree,25-34 years old,Master’s degree,IT (Information Technology),No,IT professional,No
103,2020-10-04 19:02:43,2020-10-04 19:06:22,Yes,Yes,Work using a safe network / do not leave laptop unlocked/ do not show any details or info about work to any body if working outside of home.,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Two-factor authentication;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Undecided,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Bachelor’s degree,IT (Information Technology),No,IT professional,No
104,2020-10-04 18:59:52,2020-10-04 19:07:51,Yes,Yes,"Lock device, use VPN, look out for phising",Laptop;,No,Corporate assets,"Yes, partly",Password protection;Two-factor authentication;Automatic screen lock;Hard disk encryption;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,None;,No,Undecided,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,35-44 years old,Master’s degree,IT (Information Technology),No,IT professional,No
105,2020-10-04 19:05:37,2020-10-04 19:10:56,Yes,Yes,"Limited access to my computer by others.
Locking.
Caution with internet access over company VPN",Laptop;,No,Corporate assets,No,Password protection;Hard disk encryption;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Undecided,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Master’s degree,IT (Information Technology),No,Manager,No
106,2020-10-04 19:07:41,2020-10-04 19:12:15,Yes,Yes,"email phising, unattended devices",Laptop;,No,Corporate assets,No,Password protection;Automatic screen lock;Hard disk encryption;,Using VPN ,No,No,No,No,No,None;,No,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,35-44 years old,Bachelor’s degree,IT (Information Technology),No,Manager,No
107,2020-10-04 19:26:32,2020-10-04 19:29:59,Yes,No,No,Laptop;,No,Corporate assets,No,Password protection;Automatic screen lock;Hard disk encryption;,Using VPN ,No,No,No,No,No,None;,No,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,25-34 years old,"High school graduate, diploma or the equivalent",Other,Ecommerce,IT professional,No
108,2020-10-04 21:02:35,2020-10-04 21:08:05,No,Yes,"Avoid using unsecure wireless connections.
Avoid spam emails related with Covid-19 (phishing etc). ",Laptop;,No,Personal assets,No,Password protection;Two-factor authentication;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Teleconferencing;,None;,No,Agree,Agree,Undecided,Strongly agree,Agree,Strongly agree,Strongly agree,35-44 years old,Doctorate degree,Banking & Financial,No,IT professional,No
109,2020-10-04 21:10:51,2020-10-04 21:14:58,Yes,No,No,Laptop;,No,Corporate assets,"Yes, fully",Password protection;,Using VPN ,No,No,No,No,No,None;,No,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Trade/technical/vocational training,Other,Price comparison,Manager,No
110,2020-10-04 21:57:37,2020-10-04 22:25:04,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Hard disk encryption;,Using VPN ,No,No,No,Yes,Scheduling;Real-time chatting;Teleconferencing;,None;,No,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,25-34 years old,Master’s degree,Other,E-commerce,Other,No
111,2020-11-04 00:03:23,2020-11-04 00:05:45,Yes,Yes,No,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Two-factor authentication;Automatic screen lock;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,25-34 years old,Bachelor’s degree,Telecommunications,No,IT professional,No
112,2020-11-04 01:58:36,2020-11-04 02:02:16,Yes,No,No,Laptop;,No,Corporate assets,No,Password protection;Hard disk encryption;,Using VPN ,No,No,No,No,No,None;,No,Undecided,Disagree,Undecided,Agree,Agree,Strongly agree,Agree,25-34 years old,Master’s degree,IT (Information Technology),No,Other,No
113,2020-11-04 10:51:40,2020-11-04 11:03:20,Yes,Yes,passwords for connection to our system,Desktop;Laptop;,Yes,Corporate assets,"Yes, partly",Password protection;Two-factor authentication;Antivirus software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Real-time chatting;Teleconferencing;,None;,No,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,35-44 years old,Bachelor’s degree,Education & Research,No,Other,No
114,2020-11-04 11:50:42,2020-11-04 11:52:39,Yes,No,No,Laptop;Tablet;Smartphone;,No,Corporate assets,No,Password protection;Automatic screen lock;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,No,No,None;,No,Strongly agree,Strongly agree,Strongly agree,Undecided,Agree,Agree,Strongly agree,45-54 years old,Doctorate degree,Education & Research,No,Researcher,No
115,2020-11-04 12:04:01,2020-11-04 12:13:30,Yes,Yes,"1) Change all the passwords
2) Distinguish devices to be used for work from the ones to be used for leisure
3) Vigilate for what concerns phishing",Laptop;,Yes,Personal assets,No,Password protection;Hard disk encryption;Antivirus software installed;Antispam software installed;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,Phishing;,No,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Doctorate degree,Education & Research,No,Manager,I have been smart working for extensive periods of time also in the past.
116,2020-11-04 14:11:43,2020-11-04 14:17:50,Yes,Yes,,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Hard disk encryption;,Using VPN ,No,No,No,No,No,None;,No,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,25-34 years old,Master’s degree,IT (Information Technology),No,Manager,No
117,2020-11-04 18:40:27,2020-11-04 18:42:56,Yes,Yes,"1) dont share laptop with others, 2) do the updates , 3) do virus scan often",Laptop;,No,Corporate assets,No,Password protection;Automatic screen lock;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,Yes,Instructions provided via email;,Yes,Document management;Teleconferencing;,None;,No,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Bachelor’s degree,Other,Marketing,Other,No
118,2020-11-04 18:47:26,2020-11-04 19:22:21,Yes,Yes,"1. All work must be done from a home office and only use your personal computer
2. Don't discuss the project guidelines, tools, processes, URLs and the identity of clients outside the team

",Laptop;Smartphone;,No,Personal assets,No,Password protection;Two-factor authentication;Automatic screen lock;Antivirus software installed;,Direct access,No,No,No,No,No,None;,,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,25-34 years old,Bachelor’s degree,IT (Information Technology),No,Other,No
119,2020-11-04 19:27:48,2020-11-04 19:31:21,No,Yes,Avoid public places and unsecured wireless connections. Don’t access work email from public devices.,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,No,No,Phishing;,No,Undecided,Disagree,Disagree,Agree,Agree,Agree,Agree,35-44 years old,Bachelor’s degree,IT (Information Technology),No,Manager,No
120,2020-11-04 19:45:22,2020-11-04 19:49:36,No,No,No,Laptop;Smartphone;,No,Corporate assets,"Yes, fully",None of the above;,Using VPN ,No,No,No,Yes,Project/Workflow/Task management;Scheduling;Real-time chatting;,None;,No,Undecided,Undecided,Agree,Undecided,Undecided,Strongly agree,Strongly agree,35-44 years old,Trade/technical/vocational training,IT (Information Technology),No,Manager,No
121,2020-11-04 20:26:56,2020-11-04 20:33:57,Yes,Yes,"Lock your device, log out when you finish, close your vpn network",Laptop;,No,Corporate assets,"Yes, fully",Password protection;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Agree,Agree,Disagree,Agree,Agree,Undecided,Agree,25-34 years old,Bachelor’s degree,IT (Information Technology),No,Manager,No
122,2020-11-04 21:35:18,2020-11-04 21:40:37,No,Yes,"Avoid zoom application
Avoid pressing unknown links",Laptop;,No,Personal assets,No,Password protection;Automatic screen lock;Antivirus software installed;,Using VPN ,No,Yes,Instructions available to the corporate portal or website;Instructions provided via email;,Yes,Document management;Real-time chatting;Teleconferencing;,None;,No,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Master’s degree,Other,Shipping company ,Other,No
123,2020-12-04 05:00:34,2020-12-04 05:17:34,Yes,Yes,"Wash your hand, social distancing, wear mask",Laptop;,Yes,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;Antivirus software installed;,Direct access,No,Yes,Online training program;Instructions available to the corporate portal or website;,Yes,Document management;Project/Workflow/Task management;Scheduling;Teleconferencing;,Ransomware;Data loss;,No,Disagree,Undecided,Agree,Agree,Disagree,Undecided,Undecided,35-44 years old,Bachelor’s degree,Other,Real project ,Manager,Think positive and always happy
124,2020-12-04 06:01:04,2020-12-04 06:11:43,Yes,No,No,Laptop;Smartphone;,No,Personal assets,No,None of the above;,Direct access,No,No,No,No,No,Spyware/Virus infection;,No,Disagree,Disagree,Disagree,Agree,Undecided,Agree,Disagree,25-34 years old,Bachelor’s degree,Other,Logistics & trading,Other,No
125,2020-12-04 07:01:22,2020-12-04 07:07:04,No,No,No,Laptop;,No,Corporate assets,No,Password protection;Automatic screen lock;,Direct access,No,No,No,Yes,Real-time chatting;,None;,No,Strongly agree,Agree,Undecided,Undecided,Disagree,Agree,Agree,35-44 years old,Master’s degree,Public Sector,No,Other,No
126,2020-12-04 18:41:46,2020-12-04 18:45:17,Yes,Yes,"VPN set up guidelines
Continuous alerts on threatening emails
Malware if not able or did not have at home ",Desktop;Laptop;,Yes,Personal assets,No,Password protection;Two-factor authentication;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Project/Workflow/Task management;Real-time chatting;Teleconferencing;,None;,No,Undecided,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,35-44 years old,Master’s degree,Education & Research,No,Researcher,No
127,2020-12-04 19:20:55,2020-12-04 19:26:00,Yes,Yes," avoid using unsecure wireless connections, use only VPN connections",Laptop;Tablet;,Yes,Personal assets,No,Password protection;Automatic screen lock;Antivirus software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time chatting;Teleconferencing;,None;,No,Agree,Undecided,Agree,Strongly agree,Agree,Agree,Agree,45-54 years old,Bachelor’s degree,IT (Information Technology),No,IT professional,No
128,2020-12-04 19:51:11,2020-12-04 19:55:23,Yes,Yes,Work via VPN (Virtual Private Network) to connect in my institution's network,Laptop;,No,Personal assets,No,Password protection;,Using VPN ,No,No,No,No,No,None;,No,Agree,Undecided,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,35-44 years old,Master’s degree,Education & Research,No,Other,No
129,2020-12-04 22:02:30,2020-12-04 22:06:39,Yes,Yes,"avoid phishing emails
vpn best practices",Laptop;Smartphone;,No,Personal assets,No,Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,Phishing;,No,Strongly agree,Strongly agree,Agree,Undecided,Agree,Agree,Agree,25-34 years old,Master’s degree,Public Sector,No,Other,No
